ciHistory;			"History für CI: "

user;				"User"
date;				"Zeit"
note;				"Notiz"
historyDetails;		"History Details"

historyId;	"ID"
username;	"Benutzer"
datestamp;	"Datum"
default_attribute; "Standard Attribut"
ci_typ;				"CI Typ"

ciRestoreSuccess; "CI erfolgreich wiederhergestellt!"

projectsAdded;		"Hinzugefügte Projekte:"
relationsAdded;		"Hinzugefügte Relationen:"
attributesAdded;	"Hinzugefügte Attribute:"

projectsDeleted;	"Gelöschte Projekte:"
relationsDeleted;	"Gelöschte Relationen:"
attributesDeleted;	"Gelöschte Attribute:"

timestampDescription;	"Hier klicken, um das CI zu diesem Zeitpunkt zu betrachten"

currentVersion;		"Aktuelle Version:"
pastVersion;		"Version zum Zeitpunkt:"
projects;			"Projekte"
relations;			"Relationen"
back;				"Zurück"
overview;			"Übersicht"
attributesRestore;           	"Attribut wiederherstellen"
relationRestore;          		"Relation wiederherstellen"
ciRestore;                		"CI wiederherstellen"
restoreDescription;       		"Attribute wiederherstellen"
attributes;               		"Attribute"
singleAttributeUpdateSuccess;	"Attribut erfolgreich wiederhergestellt"
confirmRestoreAttribute;		"Wollen Sie das Attribut wirklich wiederherstellen?"
confirmRestoreCi;   			"Wollen Sie das CI wirklich wiederherstellen?"
confirmRestoreRelation; 		"Wollen Sie die Relation wirklich wiederherstellen?"
confirmRestoreProject;			"Wollen Sie die Relation wirklich wiederherstellen?"
chooseselection; 				"Wählen Sie aus"
nohistoryfound; 				"Keine History Einträge gefunden"
historyViewNotAllowed; 			"Keine Berechtigung für History Eintrag vorhanden!"
submit; 						"auswählen"
singleRelationUpdateFailed; 	"Wiederherstellung der Relation fehlgeschlagen"
singleRelationUpdateSuccess; 	"Wiederherstellung der Relation erfolgreich"
ciTypeAdded; 					"Ci Typ geändert auf"
citypeDeleted; 					"Ci Typ geändert"
deletedAttributes; 				"Gelöschte Attribute"
ciType; "Ci Typ"
projectsAdded; "Projekt(e) hinzugefügt"
projects_deleted; "Projekt(e) entfernt"
relationType; "Relation Typ"
showAll; "Alles anzeigen"
showDiff; "Show Diff"
restoreAll; "Alles wiederherstellen"
updatedAttributes; "Geänderte Attribute"
ciRelationAlreadySet; "Relation ist bereits in der aktuellen Variante zugeordnet"

numberOfResults;		"Anzahl der Ergebnisse:"
filterHistoryEntries;   "Filter History Einträge"
dateRange;              "Datum"
fromDate;               "von"
toDate;                 "bis"
showChanges;            "Änderungen anzeigen"
relationChanges;        "Relationen"
projectChanges;         "Projekte"
ciTypesChanges;          "CiTypen"
attributeChanges;       "Attributänderungen"
choose;                 "auswählen ..."
filter;                 "Filtern"
filterReset;            "Filter löschen"
filterSectionShow;      "Filter Bereich anzeigen"
filterSectionHide;      "Filter Bereich verbergen"
changes;                "Änderungen";
change;                 "Änderung";
noChanges;              "keine Änderungen"

optGroupCiTypeAttributes; "CI-Typ Attribute"
optGroupAdditionalAttributes; "Zusätzliche Attribute"
