mailimportId;			"ID"
host;					"Host"
protocol;               "Protokoll"
move_folder;            "Verschiebe in Ordner"
port;                   "Port"
user;					"Benutzer"
password;				"Passwort"
ssl;					"SSL"
ciPrefix;				"CI Präfix"
attachBody;				"Body anhängen"
bodyAttributeId;		"Attribut ID des Bodys"
attachmentAttributeId;	"Attribut ID des Attachments"
enableCiMail;			"Emails verwenden"
note;					"Notiz"
active;					"Aktiv"
mailaddress;			"Mailadresse"
ciId;					"CI ID"



mailimportHostTitle;			"Geben sie hier ihren POP3 Server an."
mailimportUserTitle;			"Benutzername des POP3 Kontos"
mailimportPasswordTitle;		"Passwort des Kontos"
mailimportSslTitle;				"Wollen sie die Verbindung SSL VerschlÃ¼sseln"
mailimportCiFieldTitle;			"Ci Präfix ist zum identifizieren der E-Mails notwendig"
mailimportAttachBodyTitle;		"Soll der Body auch gespeichert werden"
mailimportBodyAttributeIdTitle;	"Attribut ID in welches der Body gespeichert wird"
mailimportAttachementAttributeIdTitle;	"Attribut ID in dem das Attachment gespeichert wird"
mailimportEnableCiMailTitle;	"E-Mails verwenden"
mailimportNoteTitle;			"Hier kann eine Notiz hinterlegt werden"
mailimportActiveTitle;			"aktiv"
mailimportProtocolTitle;        "Mail-Protokoll"
mailimportPortTitle;            "Port am Server"
mailimportMoveFolderTitel;      "Mail-Ordner in den das Mail nach der Verarbeitung verschoben werden soll"

save;					"Speichern"
edit;					"Bearbeiten"
overview;				"Übersicht"

mailimportCreate;		"Mailimport anlegen"
mailimportEdit;			"Mailimport bearbeiten"
manageAddresses;		"Adressen verwalten"
assignAdresses;			"Addressen zuordnen"
mailimports;			"Mail Imports"

execute;				"Import starten"
editCronjob;			"Cronjob bearbeiten"
assignCronjob;			"Cronjob zuweisen"

numberOfResults;	"Anzahl der Ergebnisse:"

minutes;				"Minuten"
everyMinute;			"Jede Minute"
hours;					"Stunden"
everyHour;				"Jede Stunde"
days;					"Tage"
everyDay;				"Jeden Tag"
months;					"Monate"
everyMonth;				"Jedes Monat"
weekdays;				"Wochentage"
everyWeekday;			"Jeden Wochentag"
pleaseChose;			"Bitte wählen"

currentExecutionTime;	"derzeitige Ausführungszeit"
