mailimportId;			"ID"
host;					"Host"
protocol;               "Protocol"
port;                   "Port"
move_folder;            "Move to folder"
user;					"User"
password;				"Password"
ssl;					"SSL"
ciPrefix;				"CI Prefix"
attachBody;				"Attach Body"
bodyAttributeId;		"Body's Attribute ID"
attachmentAttributeId;	"Attachment's Attribute ID"
enableCiMail;			"Enable E-Mails"
note;					"Note"
active;					"active"
mailaddress;			"E-Mail-Address"
ciId;					"CI ID"
numberOfResults;		"Number of Results:"

save;					"Save"
edit;					"Edit"
overview;				"Overview"

mailimportCreate;		"Create Mailimport"
mailimportEdit;			"Edit Mailimport"
manageAddresses;		"Manage Adresses"
assignAdresses;			"Assign Addresses"
mailimports;			"Mail Import"

execute;				"Start Import"
editCronjob;			"Edit Cronjob"
assignCronjob;			"Assign Cronjob"

minutes;				"Minutes"
everyMinute;			"Every Minute"
hours;					"Hours"
everyHour;				"Every Hour"
days;					"Days"
everyDay;				"Every Day"
months;					"Months"
everyMonth;				"Every Month"
weekdays;				"Weekdays"
everyWeekday;			"Every Weekday"
pleaseChose;			"Please chose"

currentExecutionTime;	"current Execution Time"

mailimportProtocolTitle;        "Mail Protocol"
mailimportPortTitle;            "Port on server"
mailimportMoveFolderTitel;      "Mail folder in which the mail should be moved after processing"
