reporting;					"Reporting"
reportCreate;				"Create Report"
general;					"General"
scriptUpload;				"Uploading Script"
edit;						"Edit"
execute;					"Execute"
delete;						"Delete"
numberOfResults;			"Number of Results:"

overview;					"Overview"

name;						"Name"
input;						"Datasource"
output;						"Target"
transport;					"Transport"
trigger;					"Trigger"
active;						"active"
content;					"Content"
filename;					"Filename"
filepath;					"Filepath"
mailaddresses;				"E-Mail-Addresses"
mail_content;                           "E-Mail Message"
archive;					"Archive"


name_desc;					"internal name of this report"
description_desc;			"Report description"
note_desc;					"Filename which is generated by this report"
input_desc;					"Where the data for this report are retrieved from"
output_desc;				"Select the output format"
transport_desc;				"Select a supported transport method"
trigger_desc;				"Trigger type can be either manual or scheduled"

description;				"Description"
note;						"Filename"

save;						"Save"
next;						"Next"
back;						"Back"
abort;						"Cancel"

sql;						"SQL"
cql;						"CQL"

inputSql;					"SQL"
inputCql;					"CQL"
inputScriptold;				"external Reporting Module"
inputScript;				"external Script"
inputExtended;				"extended Script"
inputGui;					"manuelle Selection"

outputNone;					"none"
outputXls;					"Excel File"
outputCsv;					"CSV File"
outputMailbody;				"Mailbody"


transportNone;				"none"
transportMail;				"Mail"
transportFtp;				"FTP"

triggerTime;				"Time Trigger"
triggerManual;				"Manual"

reportingTriggerTimeExample; 	""

assignSource;				"Assign Datasource"

executionTime;				"Execution Time"
scheduledExecution;			"Scheduled Execution Time"

minutes;					"Minutes"
everyMinute;				"Every Minute"
hours;						"Hours"
everyHour;					"Every Hour"
days;						"Days"
everyDay;					"Every Day"
months;						"Months"
everyMonth;					"Every Month"
weekdays;					"Weekdays"
everyWeekday;				"Every Weekday"
pleaseChose;                            "Please Chose"
atMinute;                   "at minute"
everyXMinutes;              "every x minutes"
atHour;                     "at hour"
everyXHours;                "every x hours"
atDay;                      "at day"
everyXDays;                 "every x days"
atMonth;                    "at month"
everyXMonths;               "every x months"
atWeekday;                  "at weekday"
summary;				"Summary"
reportingExecutionTimeUpdateCancled;	"Execution Time Update canceled"
reportingCreateSuccess;			"Report successfully created"
reportingDeleteSuccess;                 "Report successfully deleted"
reportingUpdateSuccess;                 "Report successfully updated"

reportingNameExample;	""
reportingDescriptionExample; ""
reportingInputSQLExample;	""
reportingOutputMailExample;	""
reportingNoteExample; ""
reportingInputExample; ""
reportingOutputExample; ""
reportingTransportExample; ""
reportingTriggerExample; ""
noReportingFound;			"No reports found"

